Exercise_Name,Description_URL,muscle_gp,Equipment,Rating,Description,Exercise_Images
Calf-Machine Shoulder Shrug,https://www.bodybuilding.com/exercises/calf-machine-shoulder-shrug,Traps,Machine,8.7,Average,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/184/Male/m/184_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/184/Male/m/184_2.jpg']"
Bench Press - Powerlifting,https://www.bodybuilding.com/exercises/bench-press-powerlifting,Triceps,Barbell,8.7,Average,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/663/Male/m/663_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/663/Male/m/663_2.jpg']"
Behind-the-head skullcrusher,https://www.bodybuilding.com/exercises/lying-close-grip-barbell-triceps-extension-behind-the-head,Triceps,Barbell,8.7,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-56e-behind-the-head-skullcrusher-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-56e-behind-the-head-skullcrusher-m2-square-600x600.jpg']"
Seated palms-up wrist curl,https://www.bodybuilding.com/exercises/seated-palm-up-barbell-wrist-curl,Forearms,Barbell,8.7,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-65e-seated-palms-up-wrist-curl-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-65e-seated-palms-up-wrist-curl-m2-square-600x600.jpg']"
Reverse Cable Curl,https://www.bodybuilding.com/exercises/reverse-cable-curl,Biceps,Cable,8.7,Average,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/141/Male/m/141_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/141/Male/m/141_2.jpg']"
Dumbbell side bend,https://www.bodybuilding.com/exercises/dumbbell-side-bend,Abdominals,Dumbbell,8.6,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-102d-dumbbell-side-bend-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-102d-dumbbell-side-bend-m2-square-600x600.jpg']"
Lat pull-down,https://www.bodybuilding.com/exercises/wide-grip-lat-pulldown,Lats,Cable,8.6,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-72c-lat-pull-down-m1-square-600x600.jpg', nan]"
Side Lateral Raise,https://www.bodybuilding.com/exercises/side-lateral-raise,Shoulders,Dumbbell,8.6,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-77d-dumbbell-lateral-raise-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-77d-dumbbell-lateral-raise-m2-square-600x600.jpg']"
Alternating incline dumbbell biceps curl,https://www.bodybuilding.com/exercises/incline-dumbbell-curl,Biceps,Dumbbell,8.6,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-26n-alternating-incline-dumbbell-biceps-curl-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-26n-alternating-incline-dumbbell-biceps-curl-m2-square-600x600.jpg']"
Kettlebell One-Legged Deadlift,https://www.bodybuilding.com/exercises/kettlebell-one-legged-deadlift,Hamstrings,Kettlebells,8.6,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-4k-single-leg-kettlebell-deadlift-m1-square-600x600.jpg', nan]"
Alternate Hammer Curl,https://www.bodybuilding.com/exercises/alternate-hammer-curl,Biceps,Dumbbell,8.6,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-3d-alternating-hammer-curl-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-3d-alternating-hammer-curl-m2-square-600x600.jpg']"
Decline Push-Up,https://www.bodybuilding.com/exercises/decline-push-up,Chest,Body Only,8.6,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-20e-feet-elevated-push-up-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-20e-feet-elevated-push-up-m2-square-600x600.jpg']"
Captain's chair knee raise,https://www.bodybuilding.com/exercises/kneehip-raise-on-parallel-bars,Abdominals,Other,8.6,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-5m-captains-chair-knee-raise-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-5m-captains-chair-knee-raise-m2-square-600x600.jpg']"
Triceps Pushdown,https://www.bodybuilding.com/exercises/triceps-pushdown,Triceps,Cable,8.6,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-17c-cable-v-bar-push-down-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-17c-cable-v-bar-push-down-m2-square-600x600.jpg']"
Rope Crunch,https://www.bodybuilding.com/exercises/rope-crunch,Abdominals,Cable,8.6,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-35c-kneeling-cable-crunch-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-35c-kneeling-cable-crunch-m2-square-600x600.jpg']"
Band Hip Adductions,https://www.bodybuilding.com/exercises/band-hip-adductions,Adductors,Bands,8.6,Average,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/850/Male/m/850_2.jpg', nan]"
Single-arm kettlebell clean,https://www.bodybuilding.com/exercises/one-arm-kettlebell-clean,Hamstrings,Kettlebells,8.6,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-80k-single-arm-kettlebell-clean-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-80k-single-arm-kettlebell-clean-m2-square-600x600.jpg']"
Preacher Hammer Dumbbell Curl,https://www.bodybuilding.com/exercises/preacher-hammer-dumbbell-curl,Biceps,Dumbbell,8.6,Average,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/155/Male/m/155_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/155/Male/m/155_2.jpg']"
Alternating Kettlebell Press,https://www.bodybuilding.com/exercises/alternating-kettlebell-press,Shoulders,Kettlebells,8.6,Average,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/504/Male/m/504_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/504/Male/m/504_2.jpg']"
Split Squat with Dumbbells,https://www.bodybuilding.com/exercises/split-squat-with-dumbbells,Quadriceps,Dumbbell,8.6,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-61e-dumbbell-bulgarian-split-squat-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-61e-dumbbell-bulgarian-split-squat-m2-square-600x600.jpg']"
Kneeling Squat,https://www.bodybuilding.com/exercises/kneeling-squat,Glutes,Barbell,8.6,Average,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/697/Male/m/697_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/697/Male/m/697_2.jpg']"
Close-grip barbell curl,https://www.bodybuilding.com/exercises/close-grip-standing-barbell-curl,Biceps,Barbell,8.6,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-20b-close-grip-barbell-curl-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-20b-close-grip-barbell-curl-m2-square-600x600.jpg']"
Leverage Incline Chest Press,https://www.bodybuilding.com/exercises/leverage-incline-chest-press,Chest,Machine,8.6,Average,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/893/Male/m/893_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/893/Male/m/893_2.jpg']"
Kettlebell Turkish Get-Up (Squat style),https://www.bodybuilding.com/exercises/kettlebell-turkish-get-up-squat-style,Shoulders,,8.6,Average,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/527/Male/m/527_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/527/Male/m/527_2.jpg']"
Crunch - Hands Overhead,https://www.bodybuilding.com/exercises/crunch-hands-overhead,Abdominals,Body Only,8.6,Average,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/113/Male/m/113_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/113/Male/m/113_2.jpg']"
Cable Internal Rotation,https://www.bodybuilding.com/exercises/cable-internal-rotation,Shoulders,Cable,8.6,Average,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/315/Male/m/315_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/315/Male/m/315_2.jpg']"
Leg Extensions,https://www.bodybuilding.com/exercises/leg-extensions,Quadriceps,Machine,8.5,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-18m-leg-extension-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-18m-leg-extension-m2-square-600x600.jpg']"
Standing One-Arm Dumbbell Curl Over Incline Bench,https://www.bodybuilding.com/exercises/standing-one-arm-dumbbell-curl-over-incline-bench,Biceps,,8.6,Average,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/339/Male/m/339_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/339/Male/m/339_2.jpg']"
Standing Olympic Plate Hand Squeeze,https://www.bodybuilding.com/exercises/standing-olympic-plate-hand-squeeze,Forearms,Other,8.6,Average,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/6/Male/m/6_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/6/Male/m/6_2.jpg']"
Sledgehammer swing,https://www.bodybuilding.com/exercises/sledgehammer-swings,Abdominals,Other,8.6,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/2019-xdb-186s-sledghehammer-swing-m1-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/2019-xdb-186s-sledghehammer-swing-m3-600x600.jpg']"
Single-arm kettlebell snatch,https://www.bodybuilding.com/exercises/one-arm-kettlebell-snatch,Shoulders,Kettlebells,8.6,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-79k-single-arm-kettlebell-snatch-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-79k-single-arm-kettlebell-snatch-m2-square-600x600.jpg']"
Box jump,https://www.bodybuilding.com/exercises/front-box-jump,Hamstrings,Other,8.6,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-75e-box-jump-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-75e-box-jump-m3-square-600x600.jpg']"
Standing cable crunch,https://www.bodybuilding.com/exercises/standing-rope-crunch,Abdominals,Cable,8.6,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-34c-standing-cable-crunch-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-34c-standing-cable-crunch-m2-square-600x600.jpg']"
Standing barbell overhead triceps extension,https://www.bodybuilding.com/exercises/standing-overhead-barbell-triceps-extension,Triceps,Barbell,8.6,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-60b-standing-barbell-overhead-triceps-extension-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-60b-standing-barbell-overhead-triceps-extension-m2-square-600x600.jpg']"
Lying cable triceps extension,https://www.bodybuilding.com/exercises/cable-lying-triceps-extension,Triceps,Cable,8.6,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-62c-lying-cable-triceps-extension-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-62c-lying-cable-triceps-extension-m2-square-600x600.jpg']"
Decline dumbbell bench press,https://www.bodybuilding.com/exercises/decline-dumbbell-bench-press,Chest,Dumbbell,8.5,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-33n-decline-dumbbell-bench-press-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-33n-decline-dumbbell-bench-press-m2-square-600x600.jpg']"
V-up,https://www.bodybuilding.com/exercises/jackknife-sit-up,Abdominals,Body Only,8.5,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-76a-v-up-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-76a-v-up-m2-square-600x600.jpg']"
Barbell Bulgarian split squat,https://www.bodybuilding.com/exercises/one-leg-barbell-squat,Quadriceps,Barbell,8.5,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/2020-xdb-60e-barbell-bulgarian-split-squat-m1-crop-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/2020-xdb-60e-barbell-bulgarian-split-squat-m2-crop-600x600.jpg']"
Reverse-grip lat pull-down,https://www.bodybuilding.com/exercises/underhand-cable-pulldowns,Lats,Machine,8.5,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-74c-reverse-grip-lat-pull-down-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-74c-reverse-grip-lat-pull-down-m2-square-600x600.jpg']"
Standing Biceps Cable Curl,https://www.bodybuilding.com/exercises/standing-biceps-cable-curl,Biceps,Cable,8.5,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-22c-cable-straight-bar-biceps-curl-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-22c-cable-straight-bar-biceps-curl-m2-square-600x600.jpg']"
Single-arm cable seated row,https://www.bodybuilding.com/exercises/seated-one-arm-cable-pulley-rows,Middle Back,Cable,8.5,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-82c-single-arm-cable-seated-row-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-82c-single-arm-cable-seated-row-m2-square-600x600.jpg']"
Single-arm kettlebell row,https://www.bodybuilding.com/exercises/one-arm-dumbbell-bench-press,Chest,Dumbbell,8.5,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-12e-single-arm-dumbbell-bench-press-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-12e-single-arm-dumbbell-bench-press-m2-square-600x600.jpg']"
Scissors Jump,https://www.bodybuilding.com/exercises/scissors-jump,Quadriceps,Body Only,8.5,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-42a-alternating-lunge-jump-m4-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-42a-alternating-lunge-jump-m5-square-600x600.jpg']"
Wide Stance Stiff Legs,https://www.bodybuilding.com/exercises/wide-stance-stiff-legs,Hamstrings,Barbell,8.5,Average,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/744/Male/m/744_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/744/Male/m/744_2.jpg']"
Rack Pull with Bands,https://www.bodybuilding.com/exercises/rack-pull-with-bands,Lower Back,Barbell,8.5,Average,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/741/Male/m/741_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/741/Male/m/741_2.jpg']"
Drag curl,https://www.bodybuilding.com/exercises/drag-curl,Biceps,Barbell,8.5,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-11b-drag-curl-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-11b-drag-curl-m2-square-600x600.jpg']"
Close push-up to wide push-up,https://www.bodybuilding.com/exercises/pushups-close-and-wide-hand-positions,Chest,Body Only,8.5,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-105a-close-push-up-to-wide-push-up-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-105a-close-push-up-to-wide-push-up-m4-square-600x600.jpg']"
Single-arm dumbbell triceps extension,https://www.bodybuilding.com/exercises/dumbbell-one-arm-triceps-extension,Triceps,Dumbbell,8.5,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-130d-single-arm-dumbbell-triceps-extension-m2-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-130d-single-arm-dumbbell-triceps-extension-m3-square-600x600.jpg']"
Butterfly,https://www.bodybuilding.com/exercises/butterfly,Chest,Machine,8.5,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-53m-machine-chest-fly-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-53m-machine-chest-fly-m2-square-600x600.jpg']"
Seated face pull,https://www.bodybuilding.com/exercises/low-pulley-row-to-neck,Shoulders,Cable,8.5,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-70c-seated-face-pull-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-70c-seated-face-pull-m2-square-600x600.jpg']"
Single-arm bent-over cable rear delt fly,https://www.bodybuilding.com/exercises/bent-over-low-pulley-side-lateral,Shoulders,Cable,8.5,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-48c-single-arm-cable-rear-delt-fly-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-48c-single-arm-cable-rear-delt-fly-m2-square-600x600.jpg']"
Clean,https://www.bodybuilding.com/exercises/clean,Hamstrings,Barbell,8.5,Average,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/669/Male/m/669_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/669/Male/m/669_2.jpg']"
Single-arm incline lateral raise,https://www.bodybuilding.com/exercises/one-arm-incline-lateral-raise,Shoulders,Dumbbell,8.5,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-24n-single-arm-incline-lateral-raise-m1-square-600x600.jpg', nan]"
Decline bar press sit-up,https://www.bodybuilding.com/exercises/press-sit-up,Abdominals,Barbell,8.5,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-44n-decline-press-sit-up-m1-square-600x600.jpg', nan]"
Barbell rear delt bent-over row,https://www.bodybuilding.com/exercises/barbell-rear-delt-row,Shoulders,Barbell,8.5,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-03b-barbell-rear-delt-bent-over-row-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-03b-barbell-rear-delt-bent-over-row-m2-square-600x600.jpg']"
Calf Press,https://www.bodybuilding.com/exercises/calf-press,Calves,Machine,8.5,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-117s-standing-calf-raise-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-117s-standing-calf-raise-m2-square-600x600.jpg']"
Kettlebell alternating renegade row,https://www.bodybuilding.com/exercises/alternating-renegade-row,Middle Back,Kettlebells,8.5,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-11k-kettlebell-alternating-renegade-row-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-11k-kettlebell-alternating-renegade-row-m2-square-600x600.jpg']"
Bosu Ball Cable Crunch With Side Bends,https://www.bodybuilding.com/exercises/bosu-ball-cable-crunch-with-side-bends,Abdominals,Cable,8.5,Average,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/932/Male/m/932_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/932/Male/m/932_2.jpg']"
Stomach Vacuum,https://www.bodybuilding.com/exercises/stomach-vacuum,Abdominals,Body Only,8.5,Average,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/243/Male/m/243_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/243/Male/m/243_2.jpg']"
Hammer Grip Incline DB Bench Press,https://www.bodybuilding.com/exercises/hammer-grip-incline-db-bench-press,Chest,Dumbbell,8.5,Average,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/60/Male/m/60_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/60/Male/m/60_2.jpg']"
Wide-grip hands-elevated push-up,https://www.bodybuilding.com/exercises/incline-push-up-wide,Chest,Body Only,8.5,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-19e-wide-grip-hands-elevated-push-up-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-19e-wide-grip-hands-elevated-push-up-m2-square-600x600.jpg']"
Decline Dumbbell Triceps Extension,https://www.bodybuilding.com/exercises/decline-dumbbell-triceps-extension,Triceps,Dumbbell,8.5,Average,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/167/Male/m/167_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/167/Male/m/167_2.jpg']"
Feet-elevated push-up,https://www.bodybuilding.com/exercises/push-ups-with-feet-elevated,Chest,Body Only,8.5,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-20e-feet-elevated-push-up-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-20e-feet-elevated-push-up-m2-square-600x600.jpg']"
Good Morning,https://www.bodybuilding.com/exercises/good-morning,Hamstrings,Barbell,8.5,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-09b-barbell-good-morning-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-09b-barbell-good-morning-m2-square-600x600.jpg']"
Leverage Chest Press,https://www.bodybuilding.com/exercises/leverage-chest-press,Chest,Machine,8.5,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-65m-machine-chest-press-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-65m-machine-chest-press-m2-square-600x600.jpg']"
Gironda Sternum Chins,https://www.bodybuilding.com/exercises/gironda-sternum-chins,Lats,Other,8.5,Average,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/292/Male/m/292_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/292/Male/m/292_2.jpg']"
Exercise ball crunch,https://www.bodybuilding.com/exercises/exercise-ball-crunch,Abdominals,Exercise Ball,8.4,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-23s-exercise-ball-crunch-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-23s-exercise-ball-crunch-m2-square-600x600.jpg']"
Seated rear delt fly,https://www.bodybuilding.com/exercises/seated-bent-over-rear-delt-raise,Shoulders,Dumbbell,8.4,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-47e-seated-rear-delt-fly-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-47e-seated-rear-delt-fly-m2-square-600x600.jpg']"
Standing face pull,https://www.bodybuilding.com/exercises/face-pull,Shoulders,Cable,8.4,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-40c-standing-face-pull-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-40c-standing-face-pull-m2-square-600x600.jpg']"
Glute Ham Raise,https://www.bodybuilding.com/exercises/glute-ham-raise,Hamstrings,Machine,8.4,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-25m-glute-ham-raise-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-25m-glute-ham-raise-m2-square-600x600.jpg']"
Russian twist,https://www.bodybuilding.com/exercises/russian-twist,Abdominals,Body Only,8.4,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/2019-xdb-262a-russian-twist-m1-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/2019-xdb-262a-russian-twist-m2-600x600.jpg']"
Seated Flat Bench Leg Pull-In,https://www.bodybuilding.com/exercises/seated-flat-bench-leg-pull-in,Abdominals,Weight Bench,8.4,Average,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/93/Male/m/93_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/93/Male/m/93_2.jpg']"
Barbell shrug,https://www.bodybuilding.com/exercises/barbell-shrug,Traps,Barbell,8.4,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-04b-barbell-shrug-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-04b-barbell-shrug-m2-square-600x600.jpg']"
Flat Bench Lying Leg Raise,https://www.bodybuilding.com/exercises/flat-bench-lying-leg-raise,Abdominals,Body Only,8.4,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-63a-lying-leg-lift-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-63a-lying-leg-lift-m2-square-600x600.jpg']"
Straight-arm dumbbell pull-over,https://www.bodybuilding.com/exercises/straight-arm-dumbbell-pullover,Chest,Dumbbell,8.4,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-26e-straight-arm-dumbbell-pull-over-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-26e-straight-arm-dumbbell-pull-over-m2-square-600x600.jpg']"
Arms-crossed jump squat,https://www.bodybuilding.com/exercises/freehand-jump-squat,Quadriceps,Body Only,8.4,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-43a-arms-crossed-jump-squat-m2-square-600x600.jpg', nan]"
Band Skull Crusher,https://www.bodybuilding.com/exercises/band-skull-crusher,Triceps,,8.4,Average,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/1211/Male/m/1211_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/1211/Male/m/1211_2.jpg']"
Side Wrist Pull,https://www.bodybuilding.com/exercises/side-wrist-pull,Shoulders,,8.4,Average,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/442/Male/m/442_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/442/Male/m/442_2.jpg']"
Isometric Wipers,https://www.bodybuilding.com/exercises/isometric-wipers,Chest,Body Only,8.4,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-122a-typewriter-push-up-m2-square-600x600.jpg', nan]"
Cable cross-over,https://www.bodybuilding.com/exercises/cable-iron-cross,Chest,Cable,8.4,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-1c-cable-cross-over-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-1c-cable-cross-over-m2-square-600x600.jpg']"
Standing leg swing,https://www.bodybuilding.com/exercises/front-leg-raises,Hamstrings,Body Only,8.4,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-83s-standing-leg-swing-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-83s-standing-leg-swing-m2-square-600x600.jpg']"
Clock push-up,https://www.bodybuilding.com/exercises/clock-push-up,Chest,Body Only,8.4,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-103a-clock-push-up-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-103a-clock-push-up-m6-square-600x600.jpg']"
Machine seated row,https://www.bodybuilding.com/exercises/leverage-iso-row,Lats,Machine,8.4,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-91m-machine-seated-row-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-91m-machine-seated-row-m2-square-600x600.jpg']"
