Exercise_Name,Description_URL,muscle_gp,Equipment,Rating,Description,Exercise_Images
Seated Dumbbell Press,https://www.bodybuilding.com/exercises/seated-dumbbell-press,Shoulders,Dumbbell,9.1,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-50e-seated-dumbbell-shoulder-press-m1-square-600x600.jpg', nan]"
Standing dumbbell shoulder press,https://www.bodybuilding.com/exercises/standing-dumbbell-press,Shoulders,Dumbbell,9.1,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-104d-standing-dumbbell-shoulder-press-m1-square-600x600.jpg', nan]"
Single Leg Push-off,https://www.bodybuilding.com/exercises/single-leg-push-off,Quadriceps,Other,9.2,Average,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/818/Male/m/818_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/818/Male/m/818_2.jpg']"
Hip Circles (Prone),https://www.bodybuilding.com/exercises/hip-circles-prone,Abductors,,9.2,Average,"['https://www.bodybuilding.com/images/2020/may/874_1.jpg', 'https://www.bodybuilding.com/images/2020/may/874_2.jpg']"
Reverse-grip bent-over row,https://www.bodybuilding.com/exercises/reverse-grip-bent-over-rows,Middle Back,Barbell,9.2,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-02b-reverse-grip-bent-over-row-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-02b-reverse-grip-bent-over-row-m2-square-600x600.jpg']"
Seated Two-Arm Palms-Up Low-Pulley Wrist Curl,https://www.bodybuilding.com/exercises/seated-two-arm-palms-up-low-pulley-wrist-curl,Forearms,Cable,9.2,Average,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/7/Male/m/7_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/7/Male/m/7_2.jpg']"
Back extension,https://www.bodybuilding.com/exercises/hyperextensions-back-extensions,Lower Back,Body Only,9.1,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-16m-back-extension-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-16m-back-extension-m2-square-600x600.jpg']"
Close-grip bench press,https://www.bodybuilding.com/exercises/close-grip-barbell-bench-press,Chest,Barbell,9.1,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-82e-close-grip-bench-press-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-82e-close-grip-bench-press-m2-square-600x600.jpg']"
Cocoons,https://www.bodybuilding.com/exercises/cocoons,Abdominals,Body Only,9.1,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-170a-cocoon-crunch-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-170a-cocoon-crunch-m2-square-600x600.jpg']"
Cross-Body Crunch,https://www.bodybuilding.com/exercises/cross-body-crunch,Abdominals,Body Only,9.1,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-176a-elbow-to-knee-crunch-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-176a-elbow-to-knee-crunch-m2-square-600x600.jpg']"
Dumbbell Flyes,https://www.bodybuilding.com/exercises/dumbbell-flyes,Chest,Dumbbell,9.1,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-31e-dumbbell-chest-fly-m1-square-600x600.jpg', nan]"
Incline dumbbell bench press,https://www.bodybuilding.com/exercises/incline-dumbbell-press,Chest,Dumbbell,9.1,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-3n-incline-dumbbell-bench-press-m2-square-600x600.jpg', nan]"
Seated Dumbbell Press,https://www.bodybuilding.com/exercises/seated-dumbbell-press,Shoulders,Dumbbell,9.1,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-50e-seated-dumbbell-shoulder-press-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-50e-seated-dumbbell-shoulder-press-m2-square-600x600.jpg']"
Standing dumbbell shoulder press,https://www.bodybuilding.com/exercises/standing-dumbbell-press,Shoulders,Dumbbell,9.1,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-104d-standing-dumbbell-shoulder-press-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-104d-standing-dumbbell-shoulder-press-m2-square-600x600.jpg']"
EZ-Bar Curl,https://www.bodybuilding.com/exercises/ez-bar-curl,Biceps,E-Z Curl Bar,9.1,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/2020-xdb-46s-standing-ez-bar-curl-m1-crop-600x600.jpg', nan]"
Leverage Shrug,https://www.bodybuilding.com/exercises/leverage-shrug,Traps,Machine,9.1,Average,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/898/Male/m/898_1.jpg', 'https://www.bodybuilding.com/images/2020/xdb/898_2.jpg']"
Cable V-bar push-down,https://www.bodybuilding.com/exercises/triceps-pushdown-v-bar-attachment,Triceps,Cable,9.1,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-17c-cable-v-bar-push-down-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-17c-cable-v-bar-push-down-m2-square-600x600.jpg']"
Wrist Roller,https://www.bodybuilding.com/exercises/wrist-roller,Forearms,Other,9.1,Average,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/142/Male/m/142_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/142/Male/m/142_2.jpg']"
Incline dumbbell reverse fly,https://www.bodybuilding.com/exercises/reverse-flyes,Shoulders,Dumbbell,9.1,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/2020-xdb-13n-incline-dumbbell-reverse-fly-m1-crop-600x600.jpg', nan]"
Elbow-to-knee crunch,https://www.bodybuilding.com/exercises/elbow-to-knee,Abdominals,Body Only,9.1,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-176a-elbow-to-knee-crunch-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-176a-elbow-to-knee-crunch-m2-square-600x600.jpg']"
Kettlebell Pistol Squat,https://www.bodybuilding.com/exercises/kettlebell-pistol-squat,Quadriceps,Kettlebells,9.1,Average,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/521/Male/m/521_2.jpg', nan]"
Overhead dumbbell front raise,https://www.bodybuilding.com/exercises/standing-dumbbell-straight-arm-front-delt-raise-above-head,Shoulders,Dumbbell,9.1,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-17d-overhead-dumbbell-front-raise-m1-square-600x600.jpg', nan]"
Seated dumbbell shoulder press,https://www.bodybuilding.com/exercises/dumbbell-shoulder-press,Shoulders,Dumbbell,9.0,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-50e-seated-dumbbell-shoulder-press-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-50e-seated-dumbbell-shoulder-press-m2-square-600x600.jpg']"
EZ-Bar Skullcrusher,https://www.bodybuilding.com/exercises/ez-bar-skullcrusher,Triceps,E-Z Curl Bar,9.0,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-94s-ez-bar-skullcrusher-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-94s-ez-bar-skullcrusher-m2-square-600x600.jpg']"
One-Arm Dumbbell Row,https://www.bodybuilding.com/exercises/one-arm-dumbbell-row,Middle Back,Dumbbell,9.0,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-13e-single-arm-bench-dumbbell-row-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-13e-single-arm-bench-dumbbell-row-m2-square-600x600.jpg']"
Alternating standing shoulder press,https://www.bodybuilding.com/exercises/standing-alternating-dumbbell-press,Shoulders,Dumbbell,9.0,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-93d-alternating-standing-shoulder-press-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-93d-alternating-standing-shoulder-press-m3-square-600x600.jpg']"
Concentration curl,https://www.bodybuilding.com/exercises/concentration-curls,Biceps,Dumbbell,9.0,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-8e-concentration-curl-m1-square-600x600.jpg', nan]"
Decline Dumbbell Flyes,https://www.bodybuilding.com/exercises/decline-dumbbell-flyes,Chest,Dumbbell,9.0,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-31n-decline-dumbbell-chest-fly-m2-square-600x600.jpg', nan]"
Reverse Grip Triceps Pushdown,https://www.bodybuilding.com/exercises/reverse-grip-triceps-pushdown,Triceps,Cable,9.0,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-19c-reverse-grip-cable-straight-bar-push-down-m2-square-600x600.jpg', nan]"
Snatch-Grip Behind-The-Neck Overhead Press,https://www.bodybuilding.com/exercises/snatch-grip-behind-the-neck-overhead-press,Shoulders,Barbell,9.0,Average,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/4571/Male/m/4571_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/4571/Male/m/4571_2.jpg']"
Box Squat with Bands,https://www.bodybuilding.com/exercises/box-squat-with-bands,Quadriceps,Barbell,9.0,Average,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/666/Male/m/666_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/666/Male/m/666_2.jpg']"
Flexor Incline Dumbbell Curls,https://www.bodybuilding.com/exercises/flexor-incline-dumbbell-curls,Biceps,Dumbbell,9.0,Average,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/285/Male/m/285_1.jpg', nan]"
Seated One-Arm Dumbbell Palms-Up Wrist Curl,https://www.bodybuilding.com/exercises/seated-one-arm-dumbbell-palms-up-wrist-curl,Forearms,Dumbbell,9.0,Average,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/386/Male/m/386_1.jpg', nan]"
Machine Bicep Curl,https://www.bodybuilding.com/exercises/machine-bicep-curl,Biceps,Machine,9.0,Average,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/899/Male/m/899_2.jpg', nan]"
Seated Palms-Down Barbell Wrist Curl,https://www.bodybuilding.com/exercises/seated-palms-down-barbell-wrist-curl,Forearms,,9.0,Average,"['https://www.bodybuilding.com/exercises/exerciseImages/sequences/389/Male/m/389_1.jpg', 'https://www.bodybuilding.com/exercises/exerciseImages/sequences/389/Male/m/389_2.jpg']"
Single-arm incline rear delt raise,https://www.bodybuilding.com/exercises/dumbbell-lying-one-arm-rear-lateral-raise,Shoulders,Dumbbell,9.0,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-14n-single-arm-incline-rear-delt-raise-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-14n-single-arm-incline-rear-delt-raise-m2-square-600x600.jpg']"
Alternating dumbbell front raise,https://www.bodybuilding.com/exercises/front-dumbbell-raise,Shoulders,Dumbbell,9.0,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-14d-alternating-dumbbell-front-raise-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-14d-alternating-dumbbell-front-raise-m2-square-600x600.jpg']"
Hanging toes-to-bar,https://www.bodybuilding.com/exercises/hanging-pike,Abdominals,Body Only,9.0,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/2019-xdb-128c-hanging-toes-to-bar-m1-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/2019-xdb-128c-hanging-toes-to-bar-m2-600x600.jpg']"
Narrow-stance squat,https://www.bodybuilding.com/exercises/narrow-stance-squats,Quadriceps,Barbell,9.0,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-30a-narrow-stance-squat-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-30a-narrow-stance-squat-m2-square-600x600.jpg']"
Kneeling cable oblique crunch,https://www.bodybuilding.com/exercises/oblique-cable-crunch,Abdominals,Cable,9.0,Average,"['https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-36c-kneeling-cable-oblique-crunch-m1-square-600x600.jpg', 'https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-36c-kneeling-cable-oblique-crunch-m2-square-600x600.jpg']"
